,,Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,text,Status URL,
57,,B@SED_H,BigHBased,https://www.twitter.com/BigHBased,1778497477244518767,0,0,0,,2024/4/11 18:56,"@taylorswift13 Taylor come check out $Roost on BASE Chain. Coin base's new L2 on Etherium. We repping hard for the culture and I know DAMN well if you knew about it, you would DO about it! RUN UP THAT $ROOST!!",Twitter Web App,https://www.twitter.com/BigHBased/status/1778497477244518767
58,,Bob Avery.Toledo,rawbob_toledo,https://www.twitter.com/rawbob_toledo,1778921124429971540,0,0,0,,2024/4/12 23:00,"@TheGr8Illusion @taylorswift13 I hope not. She's mistaken, but I love her anyway.",Twitter Web App,https://www.twitter.com/rawbob_toledo/status/1778921124429971540
59,,Donkey Kong!,HermingTerence,https://www.twitter.com/HermingTerence,1779073274854416429,0,0,0,,2024/4/13 9:04,"@taylorswift13 Pleeeese tell- what is Taylor Smith's favourite colour toilet paper, and how does she use it (what technique). https://t.co/LUiCeEVNCJ",Twitter for Android,https://www.twitter.com/HermingTerence/status/1779073274854416429
60,,diana miller,Diana88hospie,https://www.twitter.com/Diana88hospie,1779159321777238359,0,0,0,,2024/4/13 14:46,@taylorswift13 Devil witch.  Lucifer lover.,Twitter for Android,https://www.twitter.com/Diana88hospie/status/1779159321777238359
61,,Dorian Parker,alexjwasright,https://www.twitter.com/alexjwasright,1779239186882589178,0,0,0,,2024/4/13 20:04,@TheGr8Illusion @Maryland4e58581 @taylorswift13 Lies,Twitter for iPhone,https://www.twitter.com/alexjwasright/status/1779239186882589178
62,,Cah,Cah__07,https://www.twitter.com/Cah__07,1779842640227250498,0,0,0,,2024/4/15 12:02,@taylorswift13 ??????,Twitter for Android,https://www.twitter.com/Cah__07/status/1779842640227250498
63,,inventor,Iinventedthat,https://www.twitter.com/Iinventedthat,1779879537075003640,0,0,0,,2024/4/15 14:28,@taylorswift13 In their own words! https://t.co/3RYbRDKo9q,Twitter for iPhone,https://www.twitter.com/Iinventedthat/status/1779879537075003640
64,,inventor,Iinventedthat,https://www.twitter.com/Iinventedthat,1779879577889677768,0,0,0,,2024/4/15 14:28,@taylorswift13 In their own words! https://t.co/lt25w3m49O,Twitter for iPhone,https://www.twitter.com/Iinventedthat/status/1779879577889677768
65,,Gabriel Ong,Gabriel06935867,https://www.twitter.com/Gabriel06935867,1780238249497411678,0,0,0,,2024/4/16 14:14,@taylorswift13 We awaits your new album... The world waiting to be Enchanted,Twitter for Android,https://www.twitter.com/Gabriel06935867/status/1780238249497411678
66,,Jason Batstone,BatstoneJason,https://www.twitter.com/BatstoneJason,1780333560051712255,0,0,1,,2024/4/16 20:32,@TheGr8Illusion @taylorswift13 Of course SHE never said that.,Twitter Web App,https://www.twitter.com/BatstoneJason/status/1780333560051712255
67,,Azreal,Ignitz3,https://www.twitter.com/Ignitz3,1780577451145580868,0,0,0,,2024/4/17 12:42,@taylorswift13 I hate Taylor swift,Twitter for Android,https://www.twitter.com/Ignitz3/status/1780577451145580868
68,,?nna,InnaBurban,https://www.twitter.com/InnaBurban,1780586430336483729,0,0,0,,2024/4/17 13:17,@taylorswift13 You are gorgeous #UkraineNeedsAirDefense,Twitter for Android,https://www.twitter.com/InnaBurban/status/1780586430336483729
